"tenth","δέκατος, δέκατη, δέκατον"
"great, large","μέγας, μεγάλη, μέγα"
"every, all","πᾶς, πᾶσα, πᾶν"
"wretched, miserable, suffering","τάλας, τάλαινα, τάλαν"
"not","μή"
"back; again","πάλιν"
"at some time, ever, in the world","τοτἐ"
"rule; empire; province; beginning","ἀρχή, ἀρχῆς, ἡ"
"archon, ruler, leader","ἄρχων, ἄρχοντος, ὁ"
"Greece","Ἐλλάς, Ἑλλάδος, ἡ"
"camel","κάμηλος, καμήλου, ὁ"
"poet","ποιητής, ποιητοῦ, ὁ"
"begin, command, rule","ἄρχω, ἀρξομαι, ἦρξα"
"will, wish","ἐθέλω, ἐθελήσομαι, ἠθέλησα"
"command, order","κελεύω, κελεύσω, ἐκέλευσα"
"intend, be about to","μέλλω, μελλήσω, ἐμέλλησα"
"am such as","οἷός τέ εἰμι"
